mol,smiles
mol130,N(=O)(=O)C1=CC=CC(=C1)/C=N/NC(CNC(CNC(C1=CC=CC=C1)=O)=O)=O
mol131,N(=O)(=O)C1=CC=CC(=C1)C=NNC(=O)C1=CC=CC=C1C
mol132,C(F)(F)(F)C1=CC=C(C(=C1)NC(=O)C1C=CC(=CC=1)Cl)Cl
mol133,C1(NC2C=CC=C(Cl)C=2C)N=C(CN2CCC3=C(C=CC=C3)C2)N=C(N)N=1
mol134,C1(=CC=C(C=C1N(=O)=O)C(=O)OC1=CC=C(C=C1)/C=N/C1C=CC(=CC=1)OC)C(=O)OC1=CC=C(C=C1)/C=N/C1C=CC(=CC=1)OC
mol135,N(=O)(=O)C1C=CC=CC=1C(=O)NC1CCCC1
mol136,C(CC1C=CC(=CC=1)Br)(=O)NC1=CC=C(C=C1F)F
mol137,N1C(=O)/C(/SC1=S)=C\C1=CC=C(C=C1)OC(=O)C1=CC=C(C(=C1)N(=O)=O)C(=O)OC1C=CC(=CC=1)/C=C1\SC(NC\1=O)=S
mol138,N(=O)(=O)C1C=CC(=CC=1)N1CCN(CC1)C(=O)CC1C=CC=CC=1OC
mol139,N(=O)(=O)C1=CC=C(C=C1)CSCC(=O)N/N=C/C1=CC=C(C=C1)OCC1=CC=C(C=C1)Cl
mol140,C1(NC(C(CC)CC)=O)=C(C)N(N(C2C=CC=CC=2)C1=O)C
mol141,N(=O)(=O)C1=CC=C(C=C1)CSCC(=O)N/N=C/C1=CC=C(C=C1)OCC1=CC=C(C=C1)C
mol142,C1(SCC(=O)NCC2=CC=CO2)NC2=C(C=CC=C2)N=1
mol143,C(NCCCCCC)(=O)C1=CC=C(C=C1)OC(C)=O
mol144,N(=O)(=O)C1=CC=C(C=C1)CSCC(=O)N/N=C/C1C=CC(=C(OCC)C=1)OCC1C=CC=CC=1
mol145,C(=O)(C1C=CC=CC=1C)NC(C)C1C=CC=CC=1
mol146,N(=O)(=O)C1C=CC(=CC=1)CSCC(=O)N/N=C/C1C=CC(=C(OCC)C=1)OCCC
mol147,C(=O)(NC1=CC=C2C(OCO2)=C1)C(=O)NCC1CCCO1
mol148,C1(=CC=C(C=C1N(=O)=O)C(=O)OC1C=CC(=CC=1)/C=N/C1C=CC=CC=1O)C(=O)OC1C=CC(=CC=1)/C=N/C1C=CC=CC=1O
mol149,C12OC(N)=C(C(C3C=CC=CC=3Cl)C=1C(=NN2C1C=CC(=CC=1)Br)C)C#N
mol150,C(OCC1C=CC(=CC=1)OC)(=O)N/N=C(\C)/CC(NCCC1C=CC=CC=1)=O
mol151,N(=O)(=O)C1C=C(C=C(C(NCCOC)=O)C=1)C(OC)=O
mol152,C1(C(OC)=O)=CN(CC2C=CC=CC=2)C=C(C(OC)=O)C1C1C=CC(=C(Cl)C=1)Cl
mol153,C1(=CC=C(C=C1N(=O)=O)C(=O)OC1=CC=C(C=C1)/C=N/C1=CC=CC(C)=C1)C(=O)OC1=CC=C(C=C1)/C=N/C1=CC=CC(C)=C1
mol154,S(C)(=O)(=O)N(C1=CC=C(C=C1)I)CC(=O)NC1=CC=CC(Cl)=C1C
mol155,S(C1=CC=CC=C1)(=O)(=O)N(CC(=O)N/N=C(\C)/C1C=CC=C(I)C=1)C1C=CC(=CC=1C)C
mol156,C1(NC(=O)C2C=CC=CC=2C)SC2=C(CCC2)C=1C(NC)=O
mol157,C(=O)(C1C=CC=C(F)C=1)NC1C=CC(=CC=1Br)Br
mol158,N1(C2C=CC(=CC=2)Cl)C(=O)CC(N2CCOCC2)C1=O
mol159,S(C1=CC=CC=C1)(=O)(=O)N(C1=CC=C(C(Cl)=C1)Cl)CC(=O)N/N=C(\C)/C1C=CC=C(I)C=1
mol160,C1(C(=O)NN=CC2=C(C=CC=C2Cl)F)NN=C(C2C=CC(=CC=2)F)C=1
mol161,N1(C2=CC=C(C=C2)OC)CC2C(=CC3=C(CN(C3)C3C=CC(=CC=3)OC)C=2)C1
mol162,S1C(C2CCCC2)=NN=C1NC(=O)NC1C=CC(=CC=1)OC
mol163,C(=C/C1=CC=C(C=C1)N(=O)=O)(/C(=O)N/N=C/C1C=CC(=CC=1)Br)\C(=O)N/N=C/C1C=CC(=CC=1)Br
mol164,C1(=NN=C(COC2C=C(C)C=CC=2C(C)C)S1)NC(=O)C1C=CC(=CC=1Cl)Cl
mol165,N12CN(C)CN=C1SC(CO)(CO)C2=O
mol166,C1(NC(C2C=CC=CC=2)=O)N(CCOC2C=CC(=CC=2)OC)C2=C(C=CC=C2)N=1
mol167,C(=O)(C1=CC=CC(=C1)OC(NCC1C=CC=CC=1)=S)NC1C=CC(=CC=1)C
mol168,C1(CCCC(=CC2C=CC(=CC=2)C)C1=O)=CC1=CC=C(C=C1)C
mol169,S(=O)(=O)(C1=CC=C(C=C1)N(=O)=O)NCC(=O)NCC(=O)N/N=C/C1C=CC=C(C=1)N(=O)=O
mol170,N1=C(N)N(N=C1NC(C1C=CC=CC=1)=O)C1=CC=CC=C1
mol171,N(=C(/C)\C1C=CC=C(I)C=1)/NC(CSCC1C=CC=C(Cl)C=1)=O
mol172,C1(C2CCCCC=2SC=1NC(CCC(O)=O)=O)C(=O)NC1=CC=CC=C1C
mol173,S(C1=CC=CC=C1)(=O)(=O)N(C1=CC=C(C(Cl)=C1)C)CC(=O)N/N=C/C1C=CC(=C(OCC)C=1)OCC1C=CC(=CC=1)Cl
mol174,C1(=C(C)C=CC(Cl)=C1)NC(CC(C)C)=O
